object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Sculpture,plaster,7,,,,,,,
Sculpture,talc,7,,,,,,,
Skulptur,"Holz, Bronze",7,,,,,,,
Skulptur,Majolika,7,,,,,,,
Skulptur,Masse,7,,,,,,,
Skulptur,Öl auf Holz,7,,,,,,,
Zeichnung,auf Porzellan,7,,,,,,,
Zeichnung,"Blei, Rötel",7,,,,,,,
Zeichnung,Bleistift auf Karton,7,,,,,,,
Zeichnung,Gouache auf Papier auf Leinwand,7,,,,,,,
Zeichnung,"Kohle, Feder",7,,,,,,,
Zeichnung,"Kreide, Deckfarbe",7,,,,,,,
Zeichnung,"Pinsel, Kreide",7,,,,,,,
Zeichnung,Sepia und Tusche,7,,,,,,,
Zeichnung,"Tinte, Kreide",7,,,,,,,
ZEICHNUNG,Feder,7,,,,,,,
Dessin,"à la mine de plomb, sur vélin",6,,,,,,,
Dessin,"à la piere noire, lavé d'encre & de bistre",6,,,,,,,
Dessin,à la pierre noire & à l'encre de Chine,6,,,,,,,
Dessin,à la pierre noire & lavé,6,,,,,,,
Dessin,à la pierre noire & rehaussé de blanc,6,,,,,,,
Dessin,à la pierre noire & sur papier blanc.,6,,,,,,,
Dessin,"à la pierre noire, lavé au bistre",6,,,,,,,
Dessin,"à la pierre noire, rehaussé de blanc, sur papier gris",6,,,,,,,
Dessin,à la plume & à l'aquarelle,6,,,,,,,
Dessin,à la plume & au lavis,6,,,,,,,
Dessin,à la plume & lavé d'encre,6,,,,,,,
Dessin,à la plume et lavé à l'encre,6,,,,,,,
Dessin,"à la plume, au bistre, rehaussé de blanc",6,,,,,,,
Dessin,"à la plume, coloriés",6,,,,,,,
Dessin,"à la plume, lavé",6,,,,,,,
Dessin,"à la plume, lavées au bistre",6,,,,,,,
Dessin,"à la plume, lavés & rehaussés de blanc",6,,,,,,,
Dessin,à la sanguine & au crayon blanc,6,,,,,,,
Dessin,au craïon rouge,6,,,,,,,
Dessin,"au crayon noir & blanc, sur papier bleu",6,,,,,,,
Dessin,"au crayon noir, sur papier blanc",6,,,,,,,
Dessin,aux crayons rouge & noir,6,,,,,,,
Dessin,aux trois crayons sur papier blanc,6,,,,,,,
Dessin,bistre & coloré,6,,,,,,,
Dessin,bistre et pierre noire,6,,,,,,,
Dessin,crayon et lavé,6,,,,,,,
Dessin,"crayon noir & blanc, sur papier gris",6,,,,,,,
Dessin,crayon noir rehaussé de blanc,6,,,,,,,
Dessin,crayon noir sur papier bleu,6,,,,,,,
Dessin,"crayon noir, rehaussé de blanc, sur papier bleu",6,,,,,,,
Dessin,encre de Chine & plume,6,,,,,,,
Dessin,gouache [?],6,,,,,,,
Dessin,gouache en miniature,6,,,,,,,
Dessin,gouache ou dessins,6,,,,,,,
Dessin,gouache sur papier blanc,6,,,,,,,
Dessin,grisaille sur papier,6,,,,,,,
Dessin,lavé à l'aquarelle,6,,,,,,,
Dessin,lavé à l'encre de la Chine sur papier,6,,,,,,,
Dessin,lavé au bistre rehaussé de blanc,6,,,,,,,
Dessin,"lavis bistre et rehauts de blanc, sur papier bleu",6,,,,,,,
Dessin,lavis de bistre sur papier blanc,6,,,,,,,
Dessin,pierre noire & lavis de bistre,6,,,,,,,
Dessin,pierre-noire rehaussée de blanc,6,,,,,,,
Dessin,plume & au bistre sur papier blanc,6,,,,,,,
Dessin,plume & indigo,6,,,,,,,
Dessin,plume & lavé à l'encre,6,,,,,,,
Dessin,plume et au bistre,6,,,,,,,
Dessin,plume et encre,6,,,,,,,
Dessin,plume et lavé d'encre & de bistre,6,,,,,,,
Dessin,plume lavé au bistre,6,,,,,,,
Dessin,"plume, & lavé",6,,,,,,,
Dessin,"plume, aquarelle, encre de chine",6,,,,,,,
Dessin,"plume, au bistre & rehaussé de blanc",6,,,,,,,
Dessin,"plume, colorié",6,,,,,,,
Dessin,"plume, crayon noir, encre de chine, bistre",6,,,,,,,
Dessin,"plume, encre de chine, bistre, colorié, crayon noir, sanguine",6,,,,,,,
Dessin,"plume, encre de chine, blanc",6,,,,,,,
Dessin,"plume, encre de chine, crayon noir, bistre, blanc",6,,,,,,,
Dessin,"plume, encre de chine, crayon noir, sanguine, blanc",6,,,,,,,
Dessin,"plume, encre de chine, sanguine, crayon noir, bistre",6,,,,,,,
Dessin,"plume, lavé à l'encre, et bistre",6,,,,,,,
Dessin,"plume, lavé d'encre de chine, rehaussée de blanc sur papier gris",6,,,,,,,
Dessin,"plume, lavé d'encre de la Chine",6,,,,,,,
Dessin,sanguine & rehauts de blanc,6,,,,,,,
Dessin,sanguine et sur papier,6,,,,,,,
Dessin,"sur vélin, plume, lavé à l'encre et coloré",6,,,,,,,
Dessin,trois crayons & pastel,6,,,,,,,
Dessin,"trois crayons, plume, encre de chine",6,,,,,,,
Drawing,bistre,6,,,,,,,
Drawing,"in bister on blue paper, heightened",6,,,,,,,
Drawing,"in black chalk on blue paper, heightened",6,,,,,,,
Drawing,"in black chalk, on blue paper",6,,,,,,,
Drawing,"in black chalk, on blue paper, heightened",6,,,,,,,
Drawing,in pen and bister on blue paper,6,,,,,,,
Drawing,in pen and Indian ink,6,,,,,,,
Drawing,in pen and indigo,6,,,,,,,
Drawing,"in pen, ink and bister",6,,,,,,,
Drawing,in red chalk and bister,6,,,,,,,
Drawing,in watercolour; in ink,6,,,,,,,
Drawing; Miniature,,6,,,,,,,
Gemälde,Aquarell auf Pergament,6,,,,,,,
Gemälde,Öltempera auf Leinwand,6,,,,,,,
Gemälde,Papier auf Leinwand,6,,,,,,,
Gemälde,Pastell auf Pergament,6,,,,,,,
Gemälde,Tusche,6,,,,,,,
Gemälde,uf Leinwand,6,,,,,,,
Miniatur,auf Glas,6,,,,,,,
Miniatur,Gouache auf Elfenbein,6,,,,,,,
Painting,[on panel ?],6,,,,,,,
Painting,auf Glass,6,,,,,,,
Painting,balsam colors,6,,,,,,,
Painting,marouflé,6,,,,,,,
Painting,"Öl, auf Silber",6,,,,,,,
Painting,on metal,6,,,,,,,
Painting,on satin,6,,,,,,,
Painting,op steen,6,,,,,,,
Painting,sur toile collée sur bois,6,,,,,,,
Painting,toile sur panneau,6,,,,,,,
Peinture,albâtre,6,,,,,,,
Peinture,bronze,6,,,,,,,
Peinture,en grisaille sur toile,6,,,,,,,
Peinture,ivoire,6,,,,,,,
Peinture,pastel sur toile,6,,,,,,,
Peinture,sur agathe,6,,,,,,,
Peinture,sur bois & sur cuivre,6,,,,,,,
Peinture,sur bois ou toile,6,,,,,,,
Peinture,sur cuivre ou bois,6,,,,,,,
Peinture,sur ivoire,6,,,,,,,
Peinture,sur panneau,6,,,,,,,
Peinture,sur toile et bois,6,,,,,,,
Peinture,toile colée sur bois,6,,,,,,,
Sculpture,[plâtre],6,,,,,,,
Sculpture,bronze creux,6,,,,,,,
Sculpture,cire colorée,6,,,,,,,
Sculpture,fer,6,,,,,,,
Sculpture,in plaster; in terrcotta,6,,,,,,,
Sculpture,pierre de rapport,6,,,,,,,
Sculpture,porcelaine,6,,,,,,,
Sculpture,sur bois,6,,,,,,,
Sculpture,terre verte,6,,,,,,,
Sculpture,terre-cuite et sur un pied de bois,6,,,,,,,
Skulptur,Hafnerkeramik,6,,,,,,,
Skulptur,"Marmor, Bronze",6,,,,,,,
Skulptur,Öl auf Leinwand,6,,,,,,,
Zeichnung,"Aquarell, Blei auf Papier",6,,,,,,,
Zeichnung,auf Leinwand,6,,,,,,,
Zeichnung,"Bleistift, Farbstift",6,,,,,,,
Zeichnung,"Bleistift, Tinte, Tusche",6,,,,,,,
Zeichnung,Crayon,6,,,,,,,
Zeichnung,Elfenbein,6,,,,,,,
Zeichnung,"Farbstift, Bleistift",6,,,,,,,
Zeichnung,"Feder, Kohle",6,,,,,,,
Zeichnung,"Feder, Sepia, Tusche",6,,,,,,,
Zeichnung,Guasch auf Papier,6,,,,,,,
Zeichnung,Kohle; Kreide,6,,,,,,,
Zeichnung,Kreide auf Karton,6,,,,,,,
Zeichnung,"Kreide, Blei",6,,,,,,,
Zeichnung,Kreide; laviert,6,,,,,,,
Zeichnung,"Öl, Aquarell",6,,,,,,,
Zeichnung,"Pinsel, Bleistift",6,,,,,,,
Zeichnung,Rotstift,6,,,,,,,
Zeichnung,Tempera auf Pergament,6,,,,,,,
Dessin,à l'encre de la Chine & coloré,5,,,,,,,
Dessin,"à l'huile, sur toile & papier",5,,,,,,,
Dessin,à la mine de plomb sur vélin,5,,,,,,,
Dessin,"à la pierre d'Italie, sur papier blanc",5,,,,,,,
Dessin,"à la pierre noire, mêlé de sanguine",5,,,,,,,
Dessin,à la plume & encre de la Chine,5,,,,,,,
Dessin,à la plume & lavé d'indigo,5,,,,,,,
Dessin,à la plume & lavé de bistre sur papier blanc,5,,,,,,,
Dessin,à la plume & lavé en couleurs,5,,,,,,,
Dessin,à la plume & lavées au bistre,5,,,,,,,
Dessin,à la plume & lavés à l'encre de la Chine,5,,,,,,,
Dessin,à la plume & lavés d'aquarelle,5,,,,,,,
Dessin,à la plume & lavés d'encre de la Chine,5,,,,,,,
Dessin,à la plume & rehaussé de blanc,5,,,,,,,
Dessin,à la plume et au bistre sur papier blanc,5,,,,,,,
Dessin,à la plume lavé à l'encre de la Chine,5,,,,,,,
Dessin,"à la plume, au bistre",5,,,,,,,
Dessin,"à la plume, et lavé",5,,,,,,,
Dessin,"à la plume, lavé d'encre de la chine",5,,,,,,,
Dessin,"à la plume, lavé de bistre, & crayons rouge & noir",5,,,,,,,
Dessin,"à la plume, lavé de bistre, rehaussé de blanc",5,,,,,,,
Dessin,"à la plume, lavé de bistre, sur papier blanc",5,,,,,,,
Dessin,"à la plume, lavé de sanguine",5,,,,,,,
Dessin,"à la plume, sur vélin",5,,,,,,,
Dessin,"à la sanguine & à la plume, lavés au bistre",5,,,,,,,
Dessin,au bistre & rehaussé de blanc,5,,,,,,,
Dessin,au bistre & rehaussés de blanc,5,,,,,,,
Dessin,"au bistre, & à l'encre de la Chine",5,,,,,,,
Dessin,"au crayon noir & blanc, sur papier gris",5,,,,,,,
Dessin,au pastel sur papier bleu,5,,,,,,,
Dessin,au pinceau,5,,,,,,,
Dessin,au trois crayons,5,,,,,,,
Dessin,"aux crayons noir & blanc, & lavé à l'encre",5,,,,,,,
Dessin,bistre au pinceau,5,,,,,,,
Dessin,bistre et plume,5,,,,,,,
Dessin,bistre rehaussé de blanc sur papier bleu,5,,,,,,,
Dessin,bistre sur papier gris,5,,,,,,,
Dessin,"bistre, sur papier blanc",5,,,,,,,
Dessin,coloré et lavé au bistre,5,,,,,,,
Dessin,"coloré, au bistre, à l'encre de la Chine",5,,,,,,,
Dessin,colorié à l'aquarelle,5,,,,,,,
Dessin,colorié aux eaux,5,,,,,,,
Dessin,"colorié, plume, bistre",5,,,,,,,
Dessin,coloriées,5,,,,,,,
Dessin,contre-épreuve,5,,,,,,,
Dessin,contre-épreuve à la sanguine,5,,,,,,,
Dessin,craion noir,5,,,,,,,
Dessin,craïon noir,5,,,,,,,
Dessin,craïon rouge,5,,,,,,,
Dessin,craion rouge & noir,5,,,,,,,
Dessin,crayon et pastel,5,,,,,,,
Dessin,crayon et sur papier,5,,,,,,,
Dessin,crayon noir & blanc et coloré,5,,,,,,,
Dessin,"crayon noir & sanguine, en partie rehaussé de blanc",5,,,,,,,
Dessin,"crayon noir & sanguine, plume, lavé de bistre",5,,,,,,,
Dessin,crayon noir et lavis bistre,5,,,,,,,
Dessin,"crayon noir et rehauts de blanc, sur papier gris",5,,,,,,,
Dessin,"crayon noir, blanc, trois crayons, plume, bistre, encre de chine",5,,,,,,,
Dessin,"crayon noir, plume, encre de chine",5,,,,,,,
Dessin,"crayon noir, rehaussé de blanc sur papier bleu",5,,,,,,,
Dessin,"crayon noir, sanguine, blanc",5,,,,,,,
Dessin,"crayon noir, sanguine, plume, lavé d'encre de chine & de bistre.",5,,,,,,,
Dessin,crayon rouge & blanc,5,,,,,,,
Dessin,"crayons noir & blanc, sur papier gris",5,,,,,,,
Dessin,demi-pastel,5,,,,,,,
Dessin,Encre de Chine,5,,,,,,,
Dessin,encre de chine sur vélin,5,,,,,,,
Dessin,gouaches,5,,,,,,,
Dessin,l'encre et rehaussé de blanc,5,,,,,,,
Dessin,lavé & rehaussé de blanc au pinceau,5,,,,,,,
Dessin,lavé à l'encre de chine sur papier,5,,,,,,,
Dessin,lavé d'encre de la Chine mêlée de bistre,5,,,,,,,
Dessin,lavis rehaussé de blanc,5,,,,,,,
Dessin,"les uns à la plume, les autres à la pierre noire",5,,,,,,,
Dessin,papier bleu,5,,,,,,,
Dessin,pastel sur papier gris,5,,,,,,,
Dessin,pierre noire & crayon blanc sur papier gris,5,,,,,,,
Dessin,pierre noire & encre de Chine,5,,,,,,,
Dessin,pierre noire & lavis,5,,,,,,,
Dessin,pierre noire & pastel,5,,,,,,,
Dessin,pierre noire & rehaussé de blanc sur papier bleu,5,,,,,,,
Dessin,pierre noire & sanguine sur papier blanc,5,,,,,,,
Dessin,pierre noire et bistre,5,,,,,,,
Dessin,pierre noire rehaussé de blanc sur papier bleu,5,,,,,,,
Dessin,pierre-noire & sanguine,5,,,,,,,
Dessin,plume & lavé d'encre,5,,,,,,,
Dessin,plume & lavé de bistre sur papier blanc,5,,,,,,,
Dessin,plume & lavées,5,,,,,,,
Dessin,Plume & lavis,5,,,,,,,
Dessin,plume & pinceau,5,,,,,,,
Dessin,plume et aquarella,5,,,,,,,
Dessin,plume et bistre sur papier,5,,,,,,,
Dessin,plume et lavé & rehaussé de blanc,5,,,,,,,
Dessin,plume et lavé à l'encre sur papier,5,,,,,,,
Dessin,plume et lavé de bistre sur papier blanc,5,,,,,,,
Dessin,plume et lavé de sanguine,5,,,,,,,
Dessin,plume et lavis à l'encre,5,,,,,,,
Dessin,"plume et lavis à l'encre de Chine, sur papier blanc",5,,,,,,,
Dessin,plume et lavis bistre sur papier blanc,5,,,,,,,
Dessin,plume et lavis indigo,5,,,,,,,
Dessin,plume lavé de bistre sur papier blanc,5,,,,,,,
Dessin,plume ou/et lavé à l'encre,5,,,,,,,
Dessin,"plume, bistre et rehauts de blanc, sur papier bleu",5,,,,,,,
Dessin,"plume, encre de chine, bistre, crayon noir, sanguine",5,,,,,,,
Dessin,"plume, encre de chine, crayon noir, bistre, trois crayons",5,,,,,,,
Dessin,"plume, encre de chine, crayon noir, colorié",5,,,,,,,
Dessin,"plume, encre de chine, sanguine, crayon noir",5,,,,,,,
Dessin,"plume, lavé & coloré",5,,,,,,,
Dessin,"plume, lavé à l'encre",5,,,,,,,
Dessin,"plume, lavé à l'encre, et sur papier",5,,,,,,,
Dessin,"plume, lavé au bistre, et coloré",5,,,,,,,
Dessin,"plume, lavé de bistre & d'indigo & à la sanguine",5,,,,,,,
Dessin,"plume, lavis bistre sur papier blanc",5,,,,,,,
Dessin,"plume, lavis gris et rehauts de blanc",5,,,,,,,
Dessin,"plume, rehaussés de blanc & lavés",5,,,,,,,
Dessin,"plume, sanguine, encre de chine, bistre",5,,,,,,,
Dessin,rehauts de blanc,5,,,,,,,
Dessin,sanguine et pierre-noire,5,,,,,,,
Dessin,"sanguine, plume, encre de chine",5,,,,,,,
Dessin,sur papier bleu rehaussé de blanc,5,,,,,,,
Drawing,in black chalk on blue paper,5,,,,,,,
Drawing,"in black chalk, heightened",5,,,,,,,
Drawing,in body colour,5,,,,,,,
Drawing,in chalk; in ink,5,,,,,,,
Drawing,in ink; on paper,5,,,,,,,
Drawing,in pen & India ink,5,,,,,,,
Drawing,"in pen and bister on brown paper, heightened",5,,,,,,,
Drawing,"in pen and bister, on brown paper, heightened",5,,,,,,,
Drawing,"in pen and india ink, on blue paper, heightened",5,,,,,,,
Drawing,in pen and red chalk,5,,,,,,,
Drawing,"in pen, bister and india ink",5,,,,,,,
Drawing,"in pen, red chalk and india ink",5,,,,,,,
Drawing,in pen; in chalk,5,,,,,,,
Drawing,in red chalk and india ink,5,,,,,,,
Drawing,in turpentine,5,,,,,,,
Drawing,on blue paper,5,,,,,,,
Drawing,on panel,5,,,,,,,
Drawing,pencil,5,,,,,,,
Émail,sur cuivre,5,,,,,,,
Furniture,,5,,,,,,,
Gemalde,Öl auf Kupfer,5,,,,,,,
Gemälde,auf Eisenblech,5,,,,,,,
Gemälde,Grisaille auf Leinwand,5,,,,,,,
Gemälde,Karton,5,,,,,,,
Gemälde,Metall,5,,,,,,,
Gemälde,Öl auf Leinwand auf Pappe,5,,,,,,,
Gemälde,Öl auf Papier auf Karton,5,,,,,,,
Gemälde,"Öl, Aquarell",5,,,,,,,
Gemälde,"Öl, Grisaille auf Holz",5,,,,,,,
Gemälde,"Öl, Papier auf Leinwand",5,,,,,,,
GEMÄLDE,auf Kupfer,5,,,,,,,
GEMÄLDE,Öl auf,5,,,,,,,
GEMÄLDE,Tempera auf Holz,5,,,,,,,
Miniatur,auf Goldgrund,5,,,,,,,
Miniatur,Deckfarbe,5,,,,,,,
Miniatur,Feder,5,,,,,,,
Miniatur,Grisaille auf Elfenbein,5,,,,,,,
Miniatur,"Grisaille, Elfenbein",5,,,,,,,
Miniatur,Öl auf Papier,5,,,,,,,
Miniatur,Tempera auf Pergament,5,,,,,,,
Miniatur,Wasserfarbe,5,,,,,,,
MINIATUR,auf Elfenbein,5,,,,,,,
Miniature; Enamel,,5,,,,,,,
painting,on copper,5,,,,,,,
Painting,distemper on vellum,5,,,,,,,
Painting,done with sand,5,,,,,,,
Painting,in chalk,5,,,,,,,
Painting,in marble,5,,,,,,,
Painting,in oils,5,,,,,,,
Painting,in olieverf,5,,,,,,,
Painting,"on canvas, pasted on panel",5,,,,,,,
Painting,on copper [or panel],5,,,,,,,
Painting,on plaster,5,,,,,,,
Painting,on plate,5,,,,,,,
Painting,on shell,5,,,,,,,
Painting,on variegated porphyry,5,,,,,,,
Painting,sur bois d'acajou,5,,,,,,,
Painting,sur carton,5,,,,,,,
Painting,tempera,5,,,,,,,
Peinture,[sur toile],5,,,,,,,
Peinture,à gouache,5,,,,,,,
Peinture,à l'encostique,5,,,,,,,
Peinture,en grisaille,5,,,,,,,
Peinture,en miniature,5,,,,,,,
Peinture,gouache sur vélin,5,,,,,,,
Peinture,huile sur carton,5,,,,,,,
Peinture,marouflé sur bois,5,,,,,,,
Peinture,mixaquarelle,5,,,,,,,
Peinture,pierre de touche,5,,,,,,,
Peinture,sur carte,5,,,,,,,
Peinture,sur cuivre et sur bois,5,,,,,,,
Peinture,sur cuivre ou sur toile,5,,,,,,,
Peinture,sur écaille,5,,,,,,,
Peinture,sur papier [?],5,,,,,,,
Peinture,sur pierre noire,5,,,,,,,
Peinture,sur plâtre,5,,,,,,,
Peinture,sur toile [ou] sur bois,5,,,,,,,
Peinture,sur toile & sur bois,5,,,,,,,
Peinture,"sur toile, collé sur bois",5,,,,,,,
Sculpture,bronze & marbre,5,,,,,,,
Sculpture,bronze doré d'or moulu,5,,,,,,,
Sculpture,bronze et sur un pied de bronze doré,5,,,,,,,
Sculpture,bronze sur pied de bronze doré,5,,,,,,,
Sculpture,in agate,5,,,,,,,
Sculpture,in bronze; in marble,5,,,,,,,
Sculpture,in gold,5,,,,,,,
Sculpture,marbre [ou] bronze,5,,,,,,,
Sculpture,marbre de Flandre,5,,,,,,,
Sculpture,marbre flanc,5,,,,,,,
Sculpture,plâtre [ou] bronze,5,,,,,,,
Sculpture,plomb doré,5,,,,,,,
Sculpture,terre cuite ou marbre,5,,,,,,,
Skulptur,Glas,5,,,,,,,
Skulptur,Goldbronze,5,,,,,,,
Skulptur,Leder,5,,,,,,,
Skulptur,Serpentinstein,5,,,,,,,
Skulptur,Stucco,5,,,,,,,
Skulptur,Stukko,5,,,,,,,
Skulptur,Zink,5,,,,,,,
Tapisserie,sur toile,5,,,,,,,
Zeichnung,"Aquarell, Gold",5,,,,,,,
Zeichnung,"Aquarell, Tusche, Feder",5,,,,,,,
Zeichnung,Blei auf Pergament,5,,,,,,,
Zeichnung,"Blei, Tusche, Kreide auf Papier",5,,,,,,,
Zeichnung,Bleistift.,5,,,,,,,
Zeichnung,Deckfarbe auf Karton,5,,,,,,,
Zeichnung,Farbige Stifte,5,,,,,,,
Zeichnung,Feder laviert,5,,,,,,,
Zeichnung,Feder und Tusche,5,,,,,,,
Zeichnung,"Feder, Pinsel, Sepia",5,,,,,,,
Zeichnung,"Kohle, Pastell",5,,,,,,,
Zeichnung,Kopierstift,5,,,,,,,
Zeichnung,Kreide; Tinte; laviert,5,,,,,,,
Zeichnung,Pastell auf Leinwand,5,,,,,,,
Zeichnung,"Sepia, Bleistift",5,,,,,,,
Zeichnung,"Sepiatusche, Feder",5,,,,,,,
Zeichnung,Silberstift auf Papier,5,,,,,,,
Zeichnung,"Tusche, Kohle",5,,,,,,,
Zeichnung,"Tusche, Rötel",5,,,,,,,
ZEICHNUNG,Kohle,5,,,,,,,
ZEICHNUNG,Kreide,5,,,,,,,
Decorative arts,in marble,4,,,,,,,
Dessin,à l'aquarelle & à la pierre noire,4,,,,,,,
Dessin,à l'encre,4,,,,,,,
Dessin,à l'encre & au bistre,4,,,,,,,
Dessin,à l'encre de la chine,4,,,,,,,
Dessin,à l'encre de la Chine & à la plume,4,,,,,,,
Dessin,à la mine de plomb & lavée à l'encre de la Chine,4,,,,,,,
Dessin,"à la mine de plomb, sur papier blanc",4,,,,,,,
Dessin,à la pierre noire & à l'encre de la Chine,4,,,,,,,
Dessin,à la pierre noire & lavés à l'encre de Chin,4,,,,,,,
Dessin,"à la pierre noire, lavé à l'encre de la Chine",4,,,,,,,
Dessin,à la plume & à l'encre de la Chine sur papier blanc,4,,,,,,,
Dessin,à la plume & à l'indigo,4,,,,,,,
Dessin,à la plume & à la pierre noire,4,,,,,,,
Dessin,"à la plume & au bistre, dont plusieurs coloriés",4,,,,,,,
Dessin,"à la plume & au bistre, légérement colorié",4,,,,,,,
Dessin,à la plume & aux crayons noir & rouge,4,,,,,,,
Dessin,à la plume & lavé à l'encre de la Chine sur papier blanc,4,,,,,,,
Dessin,"à la plume & lavé d'encre de la Chine, rehaussé de blanc sur papier bistré",4,,,,,,,
Dessin,à la plume & lavée,4,,,,,,,
Dessin,à la plume & lavées à l'encre de la Chine,4,,,,,,,
Dessin,à la plume & pierre noire,4,,,,,,,
Dessin,à la plume & rehaussé de bistre,4,,,,,,,
Dessin,"à la plume et au bistre, sur papier blanc",4,,,,,,,
Dessin,à la plume et colorié,4,,,,,,,
Dessin,à la plume et lavé au bistre ou à l'encre de la chine,4,,,,,,,
Dessin,à la plume et lavé d'encre de Chine,4,,,,,,,
Dessin,à la plume lavé d'encre,4,,,,,,,
Dessin,à la plume lavé d'encre de la Chine,4,,,,,,,
Dessin,"à la plume lavées à l'encre au bistre, & au crayon noir",4,,,,,,,
Dessin,à la plume lavées au bistre & aux crayons noir & rouge,4,,,,,,,
Dessin,à la plume lavés au bistre,4,,,,,,,
Dessin,à la plume lavés au bistre & rehaussés de blanc,4,,,,,,,
Dessin,à la plume lavés de bistre,4,,,,,,,
Dessin,à la plume sur vélin,4,,,,,,,
Dessin,"à la plume, & lavé à l'encre de la Chine, sur vélin",4,,,,,,,
Dessin,"à la plume, & lavé d'encre de la Chine",4,,,,,,,
Dessin,"à la plume, & lavé de bistre sur papier blanc",4,,,,,,,
Dessin,"à la plume, à l'encre de Chine & au bistre",4,,,,,,,
Dessin,"à la plume, aux crayons noir & blanc, & colorié",4,,,,,,,
Dessin,"à la plume, colorié",4,,,,,,,
Dessin,"à la plume, lavé à l'encre & rehaussé de blanc",4,,,,,,,
Dessin,"à la plume, lavé à l'encre de Chine",4,,,,,,,
Dessin,"à la plume, lavé d'encre & coloré",4,,,,,,,
Dessin,"à la plume, lavée au bistre",4,,,,,,,
Dessin,"à la plume, lavées au bistre & aux crayons noir & rouge",4,,,,,,,
Dessin,"à la plume, lavés",4,,,,,,,
Dessin,"à la plume, lavés à l'encre & au bistre",4,,,,,,,
Dessin,"à la plume, lavés à l'encre & au bistre,",4,,,,,,,
Dessin,"à la plume, lavés à l'encre de la Chine",4,,,,,,,
Dessin,"à la plume, lavés au bistre et rehaussé de blanc",4,,,,,,,
Dessin,"à la plume, lavés d'encre de la Chine",4,,,,,,,
Dessin,"à la plume, lavés de bistre sur papier blanc",4,,,,,,,
Dessin,"à la plume, plusieurs rehaussés de blanc & lavés",4,,,,,,,
Dessin,à la quarelle,4,,,,,,,
Dessin,à la sanguine rehaussé de blanc,4,,,,,,,
Dessin,à la sanguine rehaussé de blanc sur papier gris,4,,,,,,,
Dessin,à la sanguine rehaussée de blanc sur papier gri,4,,,,,,,
Dessin,"à la sanguine, & à la pierre noire",4,,,,,,,
Dessin,"à la sanguine, rehaussée de blanc",4,,,,,,,
Dessin,aquarellé,4,,,,,,,
Dessin,au bistre & à l'indigo,4,,,,,,,
Dessin,au bistre & crayon noir sur papier gris & blanc,4,,,,,,,
Dessin,"au bistre, rehaussées de blanc",4,,,,,,,
Dessin,au fusin & plume & lavé,4,,,,,,,
Dessin,aux crayons noir et blanc,4,,,,,,,
Dessin,aux troix crayons,4,,,,,,,
Dessin,bistre & rehaussé de blanc,4,,,,,,,
Dessin,bistre & rehauts de blanc sur papier bleu,4,,,,,,,
Dessin,bistre et rehauts de blanc sur papier bleu,4,,,,,,,
Dessin,bistre et sanguine,4,,,,,,,
Dessin,"bistre, plume, crayon noir, encre de chine",4,,,,,,,
Dessin,"bistre, plume, et sanguine",4,,,,,,,
Dessin,couleur sur vélin,4,,,,,,,
Dessin,crayon d'Italie,4,,,,,,,
Dessin,crayon noir et rouge,4,,,,,,,
Dessin,"crayon noir et sanguine, sur papier blanc",4,,,,,,,
Dessin,crayon noir lavé de bistre,4,,,,,,,
Dessin,crayon noir rehaussé de blanc sur papier bleu,4,,,,,,,
Dessin,"crayon noir, & rehaussé de blanc sur papier bleu",4,,,,,,,
Dessin,"crayon noir, bistre, sanguine, plume, encre de chine",4,,,,,,,
Dessin,"crayon noir, encre de chine, blanc, papier gris, plume",4,,,,,,,
Dessin,"crayon noir, encre de chine, blanc, papier gris, plume, papier bleu",4,,,,,,,
Dessin,"crayon noir, encre de chine, blanc, plume, bistre, sanguine",4,,,,,,,
Dessin,"crayon noir, encre de chine, plume, bistre, blanc, sanguine",4,,,,,,,
Dessin,"crayon noir, lavé au bistre",4,,,,,,,
Dessin,"crayon noir, plume, encre de chine, blanc sur papier gris",4,,,,,,,
Dessin,"crayon noir, plume, outremer, encre de chine",4,,,,,,,
Dessin,"crayon noir, rehaussé de blanc, plume, encre de chine, sanguine",4,,,,,,,
Dessin,"crayon noir, sanguine, bistre",4,,,,,,,
Dessin,"crayon noir, sanguine, plume, encre, colorié",4,,,,,,,
Dessin,"crayon noir, sur papier bleu",4,,,,,,,
Dessin,"crayon noir, trois crayons, plume, sanguine",4,,,,,,,
Dessin,"crayon rouge & noir, plume, lavé à l'encre, et coloré",4,,,,,,,
Dessin,crayon rouge et noir,4,,,,,,,
Dessin,"crayon rouge, rehaussé de blanc sur papier gris",4,,,,,,,
Dessin,"crayons noir et blanc, sur papier bleu",4,,,,,,,
Dessin,crayons rouge & noir,4,,,,,,,
Dessin,en grisaille,4,,,,,,,
Dessin,encre de chine & pierre noire,4,,,,,,,
Dessin,encre de chine & rehauts de blanc sur papier bleu,4,,,,,,,
Dessin,encre de chine sur papier blanc,4,,,,,,,
Dessin,fusain sur papier blanc,4,,,,,,,
Dessin,gouache en miniature sur vélin,4,,,,,,,
Dessin,"grisaille, plume, bistre",4,,,,,,,
Dessin,l'encre de la Chine,4,,,,,,,
Dessin,lavé & rehaussé de blanc,4,,,,,,,
Dessin,lavé à l'encre de Chine sur papier blanc,4,,,,,,,
Dessin,"lavé à l'encre de la Chine, sur papier blanc",4,,,,,,,
